"公演名","日程","会場","キャスト","参加状況","追加参加決定日","補足","判定元"
"∞th LIVE iと夢","DAY1","Kアリーナ横浜","結名美月","参加","","","画像の色＋元CSV"
"∞th LIVE iと夢","DAY2","Kアリーナ横浜","結名美月","参加","","","画像の色＋元CSV"
"shiny, the first REFRAC7IONS "" Still blue ""","DAY1","国立代々木競技場 第一体育館","結名美月","参加","","","画像の色＋元CSV"
"Solo Live Collection -Master ShowPiece-","DAY1","京王アリーナTOKYO","結名美月","参加","","","画像の色＋元CSV"
"Solo Live Collection -Master ShowPiece-","DAY2","京王アリーナTOKYO","結名美月","参加","","","画像の色＋元CSV"
"shiny, the first REFRAC7IONS "" Still blue ""","DAY2","国立代々木競技場 第一体育館","結名美月","参加","","","画像の色＋元CSV"
"1stLIVE FLY TO THE SHINY SKY","DAY1","舞浜アンフィシアター","河野ひより","参加","","","画像の色＋元CSV"
"1stLIVE FLY TO THE SHINY SKY","DAY2 (昼)","舞浜アンフィシアター","河野ひより","参加","","","画像の色＋元CSV"
"1stLIVE FLY TO THE SHINY SKY","DAY2 (夜)","舞浜アンフィシアター","河野ひより","参加","","","画像の色＋元CSV"
"SUMMER PARTY 2019","(昼)","パシフィコ横浜","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"SUMMER PARTY 2019","(夜)","パシフィコ横浜","河野ひより","参加","","","画像の色＋元CSV"
"バンダイナムコエンターテインメントフェスティバル","DAY2","東京ドーム","河野ひより","参加","","","画像の色＋元CSV"
"283プロダクションプロデューサー感謝祭～1.5 Anniversary Festival!!～","開催","森のホール２１ (松戸市文化会館)","河野ひより","参加","","","画像の色＋元CSV"
"MUSIC DAWN","DAY1","幕張イベントホール
（オンライン）","河野ひより","一部楽曲参加","2020/10/27","","画像の色＋元CSV"
"MUSIC DAWN","DAY2","幕張イベントホール
（オンライン）","河野ひより","参加","","","画像の色＋元CSV"
"2ndLIVE STEP INTO THE SUNSET SKY","DAY1","幕張メッセ","河野ひより","参加","2021/03/12","","画像の色＋元CSV"
"2ndLIVE STEP INTO THE SUNSET SKY","DAY2","幕張メッセ","河野ひより","参加","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ NAGOYA","DAY1","日本ガイシホール","河野ひより","参加","2021/02/16","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ NAGOYA","DAY2","日本ガイシホール","河野ひより","参加","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ TOKYO","DAY1","東京ガーデンシアター","河野ひより","参加","2021/02/16","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ TOKYO","DAY2","東京ガーデンシアター","河野ひより","参加","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ FUKUOKA","DAY1","西日本総合展示場","河野ひより","参加","2021/02/16","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ FUKUOKA","DAY2","西日本総合展示場","河野ひより","参加","","","画像の色＋元CSV"
"283フェス 2021 Happy Buffet!","DAY1","バンダイナムコ未来研究所
（オンライン）","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"283フェス 2021 Happy Buffet!","DAY2","バンダイナムコ未来研究所
（オンライン）","河野ひより","参加","","","画像の色＋元CSV"
"Xmas Party -Silent night-","DAY1","両国国技館","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"Xmas Party -Silent night-","DAY2","両国国技館","河野ひより","参加","","","画像の色＋元CSV"
"4thLIVE 空は澄み、今を越えて。","DAY1","幕張メッセ国際展示場1~3ホール","河野ひより","参加","","","画像の色＋元CSV"
"4thLIVE 空は澄み、今を越えて。","DAY2","幕張メッセ国際展示場1~3ホール","河野ひより","参加","","","画像の色＋元CSV"
"バンダイナムコエンターテインメントフェスティバル 2nd","DAY2","ZOZOマリンスタジアム","河野ひより","参加","","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE SETSUNA BEAT","DAY1","東京ガーデンシアター","河野ひより","参加","","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE SETSUNA BEAT","DAY2","東京ガーデンシアター","河野ひより","参加","","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE MUGEN BEAT","DAY1","武蔵野の森総合スポーツプラザ","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE MUGEN BEAT","DAY2","武蔵野の森総合スポーツプラザ","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"M@STERS OF IDOL WORLD!!!!! 2023","DAY1","東京ドーム","河野ひより","参加","","","画像の色＋元CSV"
"M@STERS OF IDOL WORLD!!!!! 2023","DAY2","東京ドーム","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"5thLIVE If I_wings.","DAY1","国立代々木競技場 第一体育館","河野ひより","参加","","","画像の色＋元CSV"
"5thLIVE If I_wings.","DAY2","国立代々木競技場 第一体育館","河野ひより","参加","","","画像の色＋元CSV"
"Solo Performance LIVE 我儘なまま","DAY1","武蔵野の森総合スポーツプラザ","河野ひより","参加","","","画像の色＋元CSV"
"Solo Performance LIVE 我儘なまま","DAY2","武蔵野の森総合スポーツプラザ","河野ひより","参加","","","画像の色＋元CSV"
"5.5th Anniversary LIVE 星が見上げた空","DAY1","幕張イベントホール","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"5.5th Anniversary LIVE 星が見上げた空","DAY2","幕張イベントホール","河野ひより","参加","","","画像の色＋元CSV"
"異次元フェス 
アイドルマスター★♥︎ラブライブ！歌合戦","DAY1","東京ドーム","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"異次元フェス 
アイドルマスター★♥︎ラブライブ！歌合戦","DAY2","東京ドーム","河野ひより","参加","","","画像の色＋元CSV"
"6thLIVE TOUR Come and Unite! 
Brilliant Blooms","DAY1","大阪城ホール","河野ひより","参加","","","画像の色＋元CSV"
"6thLIVE TOUR Come and Unite! 
Brilliant Blooms","DAY2","大阪城ホール","河野ひより","参加","","","画像の色＋元CSV"
"6thLIVE TOUR Come and Unite! 
Fantastic Fireworks","DAY1","Kアリーナ横浜","河野ひより","参加","","","画像の色＋元CSV"
"6thLIVE TOUR Come and Unite! 
Fantastic Fireworks","DAY2","Kアリーナ横浜","河野ひより","参加","","","画像の色＋元CSV"
"LIVE FUN!! -Beyond the Blue sky-","DAY1","横浜アリーナ","河野ひより","参加","","","画像の色＋元CSV"
"LIVE FUN!! -Beyond the Blue sky-","DAY2","横浜アリーナ","河野ひより","参加","","","画像の色＋元CSV"
"6.5th Anniversary LIVE “Chapter 283”","DAY1","武蔵野の森総合スポーツプラザ","河野ひより","参加","","","画像の色＋元CSV"
"6.5th Anniversary LIVE “Chapter 283”","DAY2","武蔵野の森総合スポーツプラザ","河野ひより","参加","","","画像の色＋元CSV"
"2nd season LIVE Over the prism","DAY1","ぴあアリーナMM","河野ひより","参加","","","画像の色＋元CSV"
"2nd season LIVE Over the prism","DAY2","ぴあアリーナMM","河野ひより","参加","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- first quadrant","DAY1","福岡国際センター","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- first quadrant","DAY2","福岡国際センター","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- second quadrant","DAY1","横浜BUNTAI","河野ひより","参加","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- second quadrant","DAY2","横浜BUNTAI","河野ひより","参加","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- third quadrant","DAY1","Aichi Sky Expo","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- third quadrant","DAY2","Aichi Sky Expo","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- fourth quadrant","DAY1","盛運輸アリーナ","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"7th UNITLIVE TOUR 
円環 -Halo around- fourth quadrant","DAY2","盛運輸アリーナ","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"7th LIVE TOUR 
螺旋 -Halo around- “The origin on the axes”","DAY1","Kアリーナ横浜","河野ひより","参加","","","画像の色＋元CSV"
"7th LIVE TOUR 
螺旋 -Halo around- “The origin on the axes”","DAY2","Kアリーナ横浜","河野ひより","参加","","","画像の色＋元CSV"
"M@STERS OF IDOL WORLD 2025","DAY1","京セラドーム大阪","河野ひより","ユニット出演予定なし","","","画像の色＋元CSV"
"M@STERS OF IDOL WORLD 2025","DAY2","京セラドーム大阪","河野ひより","参加","","","画像の色＋元CSV"
"シャニマス大感謝祭！
〜283スポーツフェスティバル〜","DAY1","京王アリーナTOKYO","河野ひより","欠席","","","画像の色＋元CSV"
"シャニマス大感謝祭！
〜283スポーツフェスティバル〜","DAY2","京王アリーナTOKYO","河野ひより","参加","","","画像の色＋元CSV"
"∞th LIVE iと夢","DAY1","Kアリーナ横浜","河野ひより","参加","","","画像の色＋元CSV"
"∞th LIVE iと夢","DAY2","Kアリーナ横浜","河野ひより","参加","","","画像の色＋元CSV"
"shiny, the first REFRAC7IONS "" Still blue ""","DAY1","国立代々木競技場 第一体育館","河野ひより","参加","","","画像の色＋元CSV"
"Solo Live Collection -Master ShowPiece-","DAY1","京王アリーナTOKYO","河野ひより","参加","","","画像の色＋元CSV"
"Solo Live Collection -Master ShowPiece-","DAY2","京王アリーナTOKYO","河野ひより","参加","","","画像の色＋元CSV"
"shiny, the first REFRAC7IONS "" Still blue ""","DAY2","国立代々木競技場 第一体育館","河野ひより","参加","","","画像の色＋元CSV"
"1stLIVE FLY TO THE SHINY SKY","DAY1","舞浜アンフィシアター","白石晴香","参加","","","画像の色＋元CSV"
"1stLIVE FLY TO THE SHINY SKY","DAY2 (昼)","舞浜アンフィシアター","白石晴香","参加","","","画像の色＋元CSV"
"1stLIVE FLY TO THE SHINY SKY","DAY2 (夜)","舞浜アンフィシアター","白石晴香","参加","","","画像の色＋元CSV"
"SUMMER PARTY 2019","(昼)","パシフィコ横浜","白石晴香","ユニット出演予定なし","","","画像の色＋元CSV"
"SUMMER PARTY 2019","(夜)","パシフィコ横浜","白石晴香","参加","","","画像の色＋元CSV"
"バンダイナムコエンターテインメントフェスティバル","DAY2","東京ドーム","白石晴香","参加","","","画像の色＋元CSV"
"283プロダクションプロデューサー感謝祭～1.5 Anniversary Festival!!～","開催","森のホール２１ (松戸市文化会館)","白石晴香","参加","","","画像の色＋元CSV"
"MUSIC DAWN","DAY1","幕張イベントホール
（オンライン）","白石晴香","参加","","","画像の色＋元CSV"
"MUSIC DAWN","DAY2","幕張イベントホール
（オンライン）","白石晴香","参加","","","画像の色＋元CSV"
"2ndLIVE STEP INTO THE SUNSET SKY","DAY1","幕張メッセ","白石晴香","欠席","","","画像の色＋元CSV"
"2ndLIVE STEP INTO THE SUNSET SKY","DAY2","幕張メッセ","白石晴香","欠席","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ NAGOYA","DAY1","日本ガイシホール","白石晴香","欠席","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ NAGOYA","DAY2","日本ガイシホール","白石晴香","欠席","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ TOKYO","DAY1","東京ガーデンシアター","白石晴香","欠席","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ TOKYO","DAY2","東京ガーデンシアター","白石晴香","欠席","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ FUKUOKA","DAY1","西日本総合展示場","白石晴香","欠席","","","画像の色＋元CSV"
"3rdLIVE TOUR PIECE ON PLANET 
/ FUKUOKA","DAY2","西日本総合展示場","白石晴香","参加","","","画像の色＋元CSV"
"283フェス 2021 Happy Buffet!","DAY1","バンダイナムコ未来研究所
（オンライン）","白石晴香","ユニット出演予定なし","","","画像の色＋元CSV"
"283フェス 2021 Happy Buffet!","DAY2","バンダイナムコ未来研究所
（オンライン）","白石晴香","参加","","","画像の色＋元CSV"
"Xmas Party -Silent night-","DAY1","両国国技館","白石晴香","ユニット出演予定なし","","","画像の色＋元CSV"
"Xmas Party -Silent night-","DAY2","両国国技館","白石晴香","参加","2021/11/29","","画像の色＋元CSV"
"4thLIVE 空は澄み、今を越えて。","DAY1","幕張メッセ国際展示場1~3ホール","白石晴香","欠席","","","画像の色＋元CSV"
"4thLIVE 空は澄み、今を越えて。","DAY2","幕張メッセ国際展示場1~3ホール","白石晴香","参加","","","画像の色＋元CSV"
"バンダイナムコエンターテインメントフェスティバル 2nd","DAY2","ZOZOマリンスタジアム","白石晴香","参加","","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE SETSUNA BEAT","DAY1","東京ガーデンシアター","白石晴香","参加","2022/06/17","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE SETSUNA BEAT","DAY2","東京ガーデンシアター","白石晴香","欠席","","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE MUGEN BEAT","DAY1","武蔵野の森総合スポーツプラザ","白石晴香","ユニット出演予定なし","","","画像の色＋元CSV"
"シャニマス初の対バンライブ 
283PRODUCTION UNIT LIVE MUGEN BEAT","DAY2","武蔵野の森総合スポーツプラザ","白石晴香","ユニット出演予定なし","","","画像の色＋元CSV"
"M@STERS OF IDOL WORLD!!!!! 2023","DAY1","東京ドーム","白石晴香","一部楽曲参加","","","画像の色＋元CSV"
"M@STERS OF IDOL WORLD!!!!! 2023","DAY2","東京ドーム","白石晴香","ユニット出演予定なし","","","画像の色＋元CSV"
"5thLIVE If I_wings.","DAY1","国立代々木競技場 第一体育館","白石晴香","参加","","","画像の色＋元CSV"
"5thLIVE If I_wings.","DAY2","国立代々木競技場 第一体育館","白石晴香","参加","","","画像の色＋元CSV"
"Solo Performance LIVE 我儘なまま","DAY1","武蔵野の森総合スポーツプラザ","白石晴香","欠席","","","画像の色＋元CSV"
